year,region,round,team_a,team_b,team_a_seed,team_b_seed,winner
2012,East,First,syracuse,north-carolina-asheville,1,16,syracuse
2012,East,First,kansas-state,southern-mississippi,8,9,kansas-state
2012,East,First,vanderbilt,harvard,5,12,vanderbilt
2012,East,First,wisconsin,montana,4,13,wisconsin
2012,East,First,cincinnati,texas,6,11,cincinnati
2012,East,First,florida-state,st-bonaventure,3,14,florida-state
2012,East,First,gonzaga,west-virginia,7,10,gonzaga
2012,East,First,ohio-state,loyola-md,2,15,ohio-state
2012,East,Second,syracuse,kansas-state,1,8,syracuse
2012,East,Second,vanderbilt,wisconsin,5,4,wisconsin
2012,East,Second,cincinnati,florida-state,6,3,cincinnati
2012,East,Second,gonzaga,ohio-state,7,2,ohio-state
2012,East,Sweet 16,syracuse,wisconsin,1,4,syracuse
2012,East,Sweet 16,cincinnati,ohio-state,6,2,ohio-state
2012,East,Elite 8,syracuse,ohio-state,1,2,ohio-state
2012,Midwest,First,north-carolina,vermont,1,16,north-carolina
2012,Midwest,First,creighton,alabama,8,9,creighton
2012,Midwest,First,temple,south-florida,5,12,south-florida
2012,Midwest,First,michigan,ohio,4,13,ohio
2012,Midwest,First,san-diego-state,north-carolina-state,6,11,north-carolina-state
2012,Midwest,First,georgetown,belmont,3,14,georgetown
2012,Midwest,First,saint-marys-ca,purdue,7,10,purdue
2012,Midwest,First,kansas,detroit-mercy,2,15,kansas
2012,Midwest,Second,north-carolina,creighton,1,8,north-carolina
2012,Midwest,Second,south-florida,ohio,12,13,ohio
2012,Midwest,Second,north-carolina-state,georgetown,11,3,north-carolina-state
2012,Midwest,Second,purdue,kansas,10,2,kansas
2012,Midwest,Sweet 16,north-carolina,ohio,1,13,north-carolina
2012,Midwest,Sweet 16,north-carolina-state,kansas,11,2,kansas
2012,Midwest,Elite 8,north-carolina,kansas,1,2,kansas
2012,South,First,kentucky,western-kentucky,1,16,kentucky
2012,South,First,iowa-state,connecticut,8,9,iowa-state
2012,South,First,wichita-state,virginia-commonwealth,5,12,virginia-commonwealth
2012,South,First,indiana,new-mexico-state,4,13,indiana
2012,South,First,nevada-las-vegas,colorado,6,11,colorado
2012,South,First,baylor,south-dakota-state,3,14,baylor
2012,South,First,notre-dame,xavier,7,10,xavier
2012,South,First,duke,lehigh,2,15,lehigh
2012,South,Second,kentucky,iowa-state,1,8,kentucky
2012,South,Second,virginia-commonwealth,indiana,12,4,indiana
2012,South,Second,colorado,baylor,11,3,baylor
2012,South,Second,xavier,lehigh,10,15,xavier
2012,South,Sweet 16,kentucky,indiana,1,4,kentucky
2012,South,Sweet 16,baylor,xavier,3,10,baylor
2012,South,Elite 8,kentucky,baylor,1,3,kentucky
2012,West,First,michigan-state,long-island-university,1,16,michigan-state
2012,West,First,memphis,saint-louis,8,9,saint-louis
2012,West,First,new-mexico,long-beach-state,5,12,new-mexico
2012,West,First,louisville,davidson,4,13,louisville
2012,West,First,murray-state,colorado-state,6,11,murray-state
2012,West,First,marquette,brigham-young,3,14,marquette
2012,West,First,florida,virginia,7,10,florida
2012,West,First,missouri,norfolk-state,2,15,norfolk-state
2012,West,Second,michigan-state,saint-louis,1,9,michigan-state
2012,West,Second,new-mexico,louisville,5,4,louisville
2012,West,Second,murray-state,marquette,6,3,marquette
2012,West,Second,florida,norfolk-state,7,15,florida
2012,West,Sweet 16,michigan-state,louisville,1,4,louisville
2012,West,Sweet 16,marquette,florida,3,7,florida
2012,West,Elite 8,louisville,florida,4,7,louisville
2012,National,Final 4,kentucky,louisville,1,4,kentucky
2012,National,Final 4,ohio-state,kansas,2,2,kansas
2012,National,National Championship,kentucky,kansas,1,2,kentucky
2013,East,First,indiana,james-madison,1,16,indiana
2013,East,First,north-carolina-state,temple,8,9,temple
2013,East,First,nevada-las-vegas,california,5,12,california
2013,East,First,syracuse,montana,4,13,syracuse
2013,East,First,butler,bucknell,6,11,butler
2013,East,First,marquette,davidson,3,14,marquette
2013,East,First,illinois,colorado,7,10,illinois
2013,East,First,miami-fl,pacific,2,15,miami-fl
2013,East,Second,indiana,temple,1,9,indiana
2013,East,Second,california,syracuse,12,4,syracuse
2013,East,Second,butler,marquette,6,3,marquette
2013,East,Second,illinois,miami-fl,7,2,miami-fl
2013,East,Sweet 16,indiana,syracuse,1,4,syracuse
2013,East,Sweet 16,marquette,miami-fl,3,2,marquette
2013,East,Elite 8,syracuse,marquette,4,3,syracuse
2013,Midwest,First,louisville,north-carolina-at,1,16,louisville
2013,Midwest,First,colorado-state,missouri,8,9,colorado-state
2013,Midwest,First,oklahoma-state,oregon,5,12,oregon
2013,Midwest,First,saint-louis,new-mexico-state,4,13,saint-louis
2013,Midwest,First,memphis,saint-marys-ca,6,11,memphis
2013,Midwest,First,michigan-state,valparaiso,3,14,michigan-state
2013,Midwest,First,creighton,cincinnati,7,10,creighton
2013,Midwest,First,duke,albany-ny,2,15,duke
2013,Midwest,Second,louisville,colorado-state,1,8,louisville
2013,Midwest,Second,oregon,saint-louis,12,4,oregon
2013,Midwest,Second,memphis,michigan-state,6,3,michigan-state
2013,Midwest,Second,creighton,duke,7,2,duke
2013,Midwest,Sweet 16,louisville,oregon,1,12,louisville
2013,Midwest,Sweet 16,michigan-state,duke,3,2,duke
2013,Midwest,Elite 8,louisville,duke,1,2,louisville
2013,South,First,kansas,western-kentucky,1,16,kansas
2013,South,First,north-carolina,villanova,8,9,north-carolina
2013,South,First,virginia-commonwealth,akron,5,12,virginia-commonwealth
2013,South,First,michigan,south-dakota-state,4,13,michigan
2013,South,First,ucla,minnesota,6,11,minnesota
2013,South,First,florida,northwestern-state,3,14,florida
2013,South,First,san-diego-state,oklahoma,7,10,san-diego-state
2013,South,First,georgetown,florida-gulf-coast,2,15,florida-gulf-coast
2013,South,Second,kansas,north-carolina,1,8,kansas
2013,South,Second,virginia-commonwealth,michigan,5,4,michigan
2013,South,Second,minnesota,florida,11,3,florida
2013,South,Second,san-diego-state,florida-gulf-coast,7,15,florida-gulf-coast
2013,South,Sweet 16,kansas,michigan,1,4,michigan
2013,South,Sweet 16,florida,florida-gulf-coast,3,15,florida
2013,South,Elite 8,michigan,florida,4,3,michigan
2013,West,First,gonzaga,southern,1,16,gonzaga
2013,West,First,pittsburgh,wichita-state,8,9,wichita-state
2013,West,First,wisconsin,mississippi,5,12,mississippi
2013,West,First,kansas-state,la-salle,4,13,la-salle
2013,West,First,arizona,belmont,6,11,arizona
2013,West,First,new-mexico,harvard,3,14,harvard
2013,West,First,notre-dame,iowa-state,7,10,iowa-state
2013,West,First,ohio-state,iona,2,15,ohio-state
2013,West,Second,gonzaga,wichita-state,1,9,wichita-state
2013,West,Second,mississippi,la-salle,12,13,la-salle
2013,West,Second,arizona,harvard,6,14,arizona
2013,West,Second,iowa-state,ohio-state,10,2,ohio-state
2013,West,Sweet 16,wichita-state,la-salle,9,13,wichita-state
2013,West,Sweet 16,arizona,ohio-state,6,2,ohio-state
2013,West,Elite 8,wichita-state,ohio-state,9,2,wichita-state
2013,National,Final 4,louisville,wichita-state,1,9,louisville
2013,National,Final 4,syracuse,michigan,4,4,michigan
2013,National,National Championship,louisville,michigan,1,4,louisville
2014,East,First,virginia,coastal-carolina,1,16,virginia
2014,East,First,memphis,george-washington,8,9,memphis
2014,East,First,cincinnati,harvard,5,12,harvard
2014,East,First,michigan-state,delaware,4,13,michigan-state
2014,East,First,north-carolina,providence,6,11,north-carolina
2014,East,First,iowa-state,north-carolina-central,3,14,iowa-state
2014,East,First,connecticut,saint-josephs,7,10,connecticut
2014,East,First,villanova,milwaukee,2,15,villanova
2014,East,Second,virginia,memphis,1,8,virginia
2014,East,Second,harvard,michigan-state,12,4,michigan-state
2014,East,Second,north-carolina,iowa-state,6,3,iowa-state
2014,East,Second,connecticut,villanova,7,2,connecticut
2014,East,Sweet 16,virginia,michigan-state,1,4,michigan-state
2014,East,Sweet 16,iowa-state,connecticut,3,7,connecticut
2014,East,Elite 8,michigan-state,connecticut,4,7,connecticut
2014,Midwest,First,wichita-state,cal-poly,1,16,wichita-state
