year,team,SRS,SOS,FG,OPP_FG,FGA,OPP_FGA,3P,OPP_3P,3PA,OPP_3PA,2P,OPP_2P,2PA,OPP_2PA,FT,OPP_FT,FTA,OPP_FTA,ORB,OPP_ORB,DRB,OPP_DRB,TRB,OPP_TRB,AST,OPP_AST,STL,OPP_STL,BLK,OPP_BLK,TOV,OPP_TOV,PF,OPP_PF,FG%,OPP_FG%,3P%,OPP_3P%,2P%,OPP_2P%,eFG%,OPP_eFG%,FT%,OPP_FT%
2012,syracuse,21.12,8.02,27.55,21.55,59.18,56.0,6.39,6.18,18.52,20.21,21.15,15.36,40.67,35.79,13.03,11.12,18.85,16.67,11.18,12.12,21.3,20.15,32.48,32.27,15.79,13.55,9.61,5.48,7.09,2.88,10.36,16.09,15.12,17.06,0.46,0.39,0.34,0.31,0.52,0.43,0.52,0.44,0.69,0.67
2012,north-carolina-asheville,3.06,-2.71,27.24,25.45,56.3,57.36,6.48,6.94,18.36,19.64,20.76,18.52,37.94,37.73,20.24,13.48,26.58,20.33,10.12,10.79,22.06,19.85,32.18,30.64,16.64,14.7,8.48,6.61,2.67,3.09,13.24,15.79,17.88,21.76,0.48,0.45,0.34,0.36,0.55,0.49,0.54,0.51,0.76,0.66
2012,kansas-state,14.47,7.53,24.84,21.65,56.13,53.06,5.71,5.29,16.68,16.61,19.13,16.35,39.45,36.45,16.03,15.13,24.06,22.1,12.52,9.74,21.71,19.52,34.23,29.26,14.45,11.35,6.16,7.29,4.81,3.19,14.26,16.06,20.13,22.16,0.44,0.41,0.35,0.32,0.49,0.44,0.5,0.46,0.66,0.67
2012,southern-mississippi,7.79,3.61,24.15,22.58,58.03,51.06,6.27,5.36,17.52,15.24,17.88,17.21,40.52,35.82,17.0,14.39,23.09,19.85,12.15,7.39,21.24,21.55,33.39,28.94,11.09,10.97,5.97,4.79,2.97,4.58,10.82,14.09,18.91,20.24,0.42,0.44,0.35,0.35,0.44,0.48,0.47,0.5,0.73,0.72
2012,vanderbilt,15.71,8.04,24.71,23.91,53.79,57.18,8.65,5.5,22.21,17.94,16.06,18.41,31.59,39.24,14.85,11.65,21.29,16.62,9.03,9.62,22.09,20.29,31.12,29.91,12.85,11.12,5.94,7.15,4.0,3.74,12.88,12.32,16.0,18.24,0.46,0.42,0.39,0.3,0.51,0.47,0.54,0.47,0.7,0.72
2012,harvard,7.84,-1.56,22.33,20.4,47.8,50.3,5.87,4.5,16.47,13.47,16.47,15.9,31.33,36.83,14.9,9.53,19.97,14.57,7.27,7.2,22.77,17.7,30.03,24.9,12.9,9.73,6.0,5.37,4.57,3.03,12.1,12.3,15.07,18.37,0.47,0.41,0.36,0.34,0.52,0.43,0.53,0.45,0.74,0.68
2012,wisconsin,19.04,8.24,22.12,19.48,52.21,50.82,7.61,3.52,21.09,12.18,14.52,15.97,31.12,38.64,12.03,10.39,16.24,15.21,8.67,7.91,22.55,20.88,31.21,28.79,11.67,8.03,5.21,4.18,3.48,2.36,8.61,10.85,14.15,16.91,0.42,0.38,0.36,0.28,0.46,0.41,0.5,0.42,0.74,0.68
2012,montana,4.55,-3.38,24.61,21.32,52.97,52.9,6.19,5.0,16.61,15.45,18.42,16.32,36.35,37.45,15.23,14.03,21.19,20.23,7.74,9.81,22.26,21.48,30.0,31.29,13.81,9.26,7.13,5.87,3.65,3.58,12.58,14.87,18.35,18.42,0.47,0.41,0.37,0.33,0.51,0.44,0.53,0.45,0.71,0.7
2012,cincinnati,12.93,6.28,25.06,23.03,59.68,55.88,7.15,5.47,20.85,17.26,17.91,17.56,38.82,38.62,11.24,9.65,17.53,14.29,12.03,10.12,21.26,22.32,33.29,32.44,12.97,12.62,8.12,5.18,4.59,3.12,10.38,13.88,15.15,15.47,0.42,0.42,0.34,0.32,0.46,0.46,0.48,0.46,0.62,0.67
2012,texas,14.0,8.12,24.73,22.64,56.67,54.64,5.76,5.94,17.61,16.85,18.97,16.7,39.06,37.79,17.85,15.61,24.42,22.91,11.64,10.27,21.24,19.97,32.88,30.24,12.36,10.97,6.82,5.85,3.64,3.36,12.33,13.52,19.52,21.06,0.44,0.42,0.33,0.36,0.49,0.44,0.49,0.47,0.72,0.65
